need_by_month,vendor,expedite_spend_usd,expedited_lines,lines
2025-07,VendorA,131553.44,28,58
2025-07,VendorB,89515.81999999999,17,51
2025-07,VendorC,90728.12,18,39
2025-07,VendorD,97675.2,19,61
2025-07,VendorE,123424.86,23,51
2025-07,VendorF,117497.56999999999,16,49
2025-08,VendorA,98773.43,20,60
2025-08,VendorB,105774.13,18,60
2025-08,VendorC,125753.15,21,57
2025-08,VendorD,60890.74,15,60
2025-08,VendorE,138698.88,25,57
2025-08,VendorF,85739.82,19,54
2025-09,VendorA,126306.69,18,46
2025-09,VendorB,73179.1,17,54
2025-09,VendorC,138724.78,31,65
2025-09,VendorD,124651.56,23,62
2025-09,VendorE,98957.16,19,46
2025-09,VendorF,41833.659999999996,10,47
2025-10,VendorA,122520.69,28,68
2025-10,VendorB,114729.77,20,77
2025-10,VendorC,62749.49,18,53
2025-10,VendorD,67712.44,15,59
2025-10,VendorE,113116.05,28,72
2025-10,VendorF,119428.74,21,66
2025-11,VendorA,116976.11,20,59
2025-11,VendorB,55177.14,14,59
2025-11,VendorC,97355.45999999999,16,58
2025-11,VendorD,94801.08,20,64
2025-11,VendorE,71343.52,13,45
2025-11,VendorF,108386.37,18,52
2025-12,VendorA,62025.409999999996,12,58
2025-12,VendorB,60422.51,14,50
2025-12,VendorC,68313.71,14,43
2025-12,VendorD,93078.76,21,62
2025-12,VendorE,106295.14,25,75
2025-12,VendorF,108188.22,21,61
2026-01,VendorA,152718.11,26,74
2026-01,VendorB,87869.83,17,51
2026-01,VendorC,84617.44,18,64
2026-01,VendorD,77391.4,19,54
2026-01,VendorE,70835.73,16,41
2026-01,VendorF,149499.46,26,76
2026-02,VendorA,119062.97,18,56
2026-02,VendorB,117855.75,21,63
2026-02,VendorC,53812.18,11,45
2026-02,VendorD,67773.63,14,50
2026-02,VendorE,61131.73,17,64
2026-02,VendorF,170174.82,26,61
2026-03,VendorA,126457.79,23,65
2026-03,VendorB,144489.75,24,60
2026-03,VendorC,115531.12,24,64
2026-03,VendorD,173753.47,26,59
2026-03,VendorE,130380.29000000001,23,65
2026-03,VendorF,139920.66,26,71
2026-04,VendorA,87471.65,14,53
2026-04,VendorB,123568.33,21,54
2026-04,VendorC,81383.38,19,53
2026-04,VendorD,121743.7,19,57
2026-04,VendorE,105307.98,15,50
2026-04,VendorF,146775.01,21,59
2026-05,VendorA,115896.23999999999,20,71
2026-05,VendorB,133116.01,21,61
2026-05,VendorC,102293.75,21,70
2026-05,VendorD,101620.93000000001,22,61
2026-05,VendorE,151062.33000000002,29,73
2026-05,VendorF,102735.23000000001,20,53
2026-06,VendorA,100209.8,20,61
2026-06,VendorB,112355.15,22,48
2026-06,VendorC,128226.97,22,67
2026-06,VendorD,178606.52,28,62
2026-06,VendorE,73841.79000000001,14,47
2026-06,VendorF,86750.21,16,59
